iter	Passed	Remaining
0	51	51608
1	94	47398
2	138	45963
3	181	45149
4	222	44358
5	268	44464
6	319	45389
7	368	45635
8	416	45850
9	464	45951
10	508	45707
11	553	45561
12	596	45281
13	645	45431
14	683	44882
15	728	44827
16	773	44745
17	812	44306
18	849	43856
19	892	43719
20	946	44119
21	991	44086
22	1033	43904
23	1096	44607
24	1142	44571
25	1178	44136
26	1216	43828
27	1260	43774
28	1301	43564
29	1341	43381
30	1381	43195
31	1423	43059
32	1466	42966
33	1502	42676
34	1546	42643
35	1591	42620
36	1630	42447
37	1678	42484
38	1720	42398
39	1766	42397
40	1807	42279
41	1860	42445
42	1895	42192
43	1941	42193
44	1986	42147
45	2028	42071
46	2068	41941
47	2112	41902
48	2150	41745
49	2198	41771
50	2240	41683
51	2282	41614
52	2328	41607
53	2376	41631
54	2420	41591
55	2471	41670
56	2515	41609
57	2553	41478
58	2599	41463
59	2641	41386
60	2681	41271
61	2724	41212
62	2775	41282
63	2819	41237
64	2858	41121
65	2897	41000
66	2940	40944
67	2986	40937
68	3025	40827
69	3067	40753
70	3106	40640
71	3151	40617
72	3192	40539
73	3235	40489
74	3280	40459
75	3317	40333
76	3359	40272
77	3400	40198
78	3442	40134
79	3480	40025
80	3517	39903
81	3556	39814
82	3599	39770
83	3643	39736
84	3681	39634
85	3722	39559
86	3765	39517
87	3805	39439
88	3841	39326
89	3882	39252
90	3917	39132
91	3962	39106
92	4007	39081
93	4054	39081
94	4087	38935
95	4122	38823
96	4161	38739
97	4200	38661
98	4240	38592
99	4284	38562
100	4328	38526
101	4378	38544
102	4423	38523
103	4465	38475
104	4500	38364
105	4540	38298
106	4584	38261
107	4629	38240
108	4673	38204
109	4720	38195
110	4768	38189
111	4812	38158
112	4855	38113
113	4898	38067
114	4934	37970
115	4974	37909
116	5026	37933
117	5068	37881
118	5112	37849
119	5156	37816
120	5199	37772
121	5247	37766
122	5291	37731
123	5334	37684
124	5373	37615
125	5412	37544
126	5450	37466
127	5490	37402
128	5537	37392
129	5577	37325
130	5623	37306
131	5668	37276
132	5719	37285
133	5763	37246
134	5804	37190
135	5847	37147
136	5890	37102
137	5929	37034
138	5978	37033
139	6019	36979
140	6067	36963
141	6126	37018
142	6169	36975
143	6220	36977
144	6263	36933
145	6301	36856
146	6343	36810
147	6382	36742
148	6430	36725
149	6469	36662
150	6510	36606
151	6551	36553
152	6597	36522
153	6635	36452
154	6668	36354
155	6716	36335
156	6749	36240
157	6794	36206
158	6832	36137
159	6869	36067
160	6909	36004
161	6951	35961
162	6993	35912
163	7037	35874
164	7090	35884
165	7136	35855
166	7179	35813
167	7221	35762
168	7259	35695
169	7298	35635
170	7351	35640
171	7400	35624
172	7451	35622
173	7493	35571
174	7537	35536
175	7583	35505
176	7630	35477
177	7671	35428
178	7718	35400
179	7757	35337
180	7804	35312
181	7853	35296
182	7898	35262
183	7940	35213
184	7981	35162
185	8021	35104
186	8060	35045
187	8111	35034
188	8154	34993
189	8203	34974
190	8239	34897
191	8284	34864
192	8329	34827
193	8369	34771
194	8416	34744
195	8461	34711
196	8504	34666
197	8543	34606
198	8587	34564
199	8627	34511
200	8667	34452
201	8708	34401
202	8756	34379
203	8806	34362
204	8846	34307
205	8891	34272
206	8936	34235
207	8972	34162
208	9004	34079
209	9038	34003
210	9078	33946
211	9111	33865
212	9147	33797
213	9186	33742
214	9223	33675
215	9262	33618
216	9300	33557
217	9344	33521
218	9383	33463
219	9423	33411
220	9465	33363
221	9505	33312
222	9550	33277
223	9594	33236
224	9626	33157
225	9672	33125
226	9707	33058
227	9747	33005
228	9788	32954
229	9834	32924
230	9881	32896
231	9923	32851
232	9964	32802
233	10006	32755
234	10047	32706
235	10092	32672
236	10133	32625
237	10188	32619
238	10224	32554
239	10264	32504
240	10302	32445
241	10336	32375
242	10369	32302
243	10406	32242
244	10443	32182
245	10479	32119
246	10517	32063
247	10552	31998
248	10589	31937
249	10626	31880
250	10672	31846
251	10720	31819
252	10757	31760
253	10796	31710
254	10836	31658
255	10873	31600
256	10914	31555
257	10952	31500
258	10985	31429
259	11020	31364
260	11062	31323
261	11101	31270
262	11133	31199
263	11170	31141
264	11216	31109
265	11254	31054
266	11297	31014
267	11337	30966
268	11372	30905
269	11415	30864
270	11457	30822
271	11504	30790
272	11543	30741
273	11581	30685
274	11613	30618
275	11657	30578
276	11694	30524
277	11735	30478
278	11774	30429
279	11815	30382
280	11859	30344
281	11900	30300
282	11939	30249
283	11979	30201
284	12016	30146
285	12048	30079
286	12090	30036
287	12127	29983
288	12166	29933
289	12200	29868
290	12250	29846
291	12293	29808
292	12329	29751
293	12368	29701
294	12402	29639
295	12438	29583
296	12483	29547
297	12524	29503
298	12567	29463
299	12612	29428
300	12660	29401
301	12704	29364
302	12753	29336
303	12791	29286
304	12833	29243
305	12873	29196
306	12914	29153
307	12956	29109
308	13011	29096
309	13050	29048
310	13092	29005
311	13129	28953
312	13179	28927
313	13220	28883
314	13259	28833
315	13315	28821
316	13358	28782
317	13403	28744
318	13441	28695
319	13482	28651
320	13523	28605
321	13565	28563
322	13601	28508
323	13645	28469
324	13682	28416
325	13719	28365
326	13754	28307
327	13785	28243
328	13824	28194
329	13867	28155
330	13901	28097
331	13934	28036
332	13968	27979
333	14004	27925
334	14040	27871
335	14082	27828
336	14121	27782
337	14155	27724
338	14191	27670
339	14228	27619
340	14273	27583
341	14312	27537
342	14345	27478
343	14385	27433
344	14420	27378
345	14463	27339
346	14497	27281
347	14530	27223
348	14572	27183
349	14614	27141
350	14657	27101
351	14695	27053
352	14733	27004
353	14774	26962
354	14812	26913
355	14852	26867
356	14886	26812
357	14931	26775
358	14972	26733
359	15008	26681
360	15052	26643
361	15087	26589
362	15124	26541
363	15160	26488
364	15197	26439
365	15243	26406
366	15277	26350
367	15312	26297
368	15360	26267
